source,company,adress,tel,url,data,NG,架電日①,先方担当者,ステータス,感触・NEXTアクション,重複判定（0以外は架電不可）
ハロワ,医療法人社団 葵会 介護老人保健施設 葵の園・野田,千葉県,04-7127-7171,,理事長 新谷 幸義,,,,,,0
ハロワ,株式会社 ティーアンドエス,千葉県,04-7127-7323,,代表取締役 横島 伸,,,,,,0
ハロワ,セイホクパッケージ株式会社,千葉県,04-7127-8110,,田中 太一郎,,,,,,0
ハロワ,社会福祉法人 志豊会 特別養護老人ホーム 松葉園,千葉県,04-7128-0111,,理事長 小張 力,,,,,,0
ハロワ,株式会社 愛幸メディカル,千葉県,04-7128-4778,,代表取締役 飯島幸司,,,,,,0
ハロワ,株式会社 ジェイウェイブ 船橋ワークセンター,千葉県,04-7128-5025,,代表取締役 山下 裕司,,,,,,0
ハロワ,ケイズトランスポート株式会社,千葉県,04-7128-5073,,代表取締役 松本 元,,,,,,0
ハロワ,株式会社 廣瀬工業,千葉県,04-7128-5591,,代表取締役：廣瀬 淳一,,,,,,0
ハロワ,石川土木 石川哲雄,千葉県,04-7128-6362,,代表 石川哲雄,,,,,,0
ハロワ,株式会社 ＩｍｐｌｏｔＡｇｅｎｔ,千葉県,04-7128-7810,,代表取締役：古谷 太志,,,,,,0
ハロワ,株式会社 Ｏ・Ｓ・Ｉ<br/> 〒＊,千葉県,04-7128-8643,,代表取締役：石川 学,,,,,,0
ハロワ,神長歯科医院,千葉県,04-7128-9791,,神長 篤,,,,,,0
ハロワ,株式会社 天寿<br/>,千葉県,04-7128-9911,,代表取締役：田村 仁史,,,,,,0
ハロワ,株式会社 佐久谷,千葉県,04-7129-1234,,代表取締役 飯塚 幹男,,,,,,0
ハロワ,株式会社 白石,千葉県,04-7129-1238,,代表取締役 白石重光,,,,,,0
ハロワ,杉谷金属工業株式会社,千葉県,04-7129-2191,,代表取締役 杉谷 宗弘,,,,,,0
ハロワ,株式会社 横川造園土木,千葉県,04-7129-2338,,横川 政雄,,,,,,0
ハロワ,富国生命保険相互会社 埼玉支社 野田営業所,千葉県,04-7129-3766,,支社長 冨士原 達哉,,,,,,0
ハロワ,株式会社 相沢モータース,千葉県,04-7129-4321,,代表取締役 相澤 文夫,,,,,,0
マイナビ19,東葛工業株式会社,千葉県,04-7129-6100,,,,,,,,0
ハロワ,有限会社 野口運輸,千葉県,04-7129-6817,,代表取締役 野口 祐一,,,,,,0
Yahooファイナンス,昭和ホールディングス株式会社,千葉県,04-7131-0181,,,,,,,,0
ハロワ,栄進化学 株式会社,千葉県,04-7131-0911,,代表取締役 長堀 和夫,,,,,,0
ハロワ,株式会社 ありがとう,千葉県,04-7131-1302,,代表取締役 中山 あかね,,,,,,0
ハロワ,医療法人社団葵会 柏たなか病院,千葉県,04-7131-2000,,理事長：新谷 幸義,,,,,,0
リクナビ19,社会福祉法人千葉県厚生事業団,千葉県,04-7131-2914,,,,,,,,0
ハロワ,特別養護老人ホーム ひかり隣保館 <br/>（社会福祉法人千葉県厚生事業団）,千葉県,04-7131-2914,,施設長：宇野 眞理子,,,,,,0
ハロワ,有限会社 後藤設備<br/>,千葉県,04-7131-3054,,後藤 一成,,,,,,0
キャリタス19,株式会社日立ヘルスケア・マニュファクチャリング,千葉県,04-7131-4336,,,,,,,,0
ハロワ,株式会社 常盤ガーデン,千葉県,04-7131-6126,,,,,,,,0
ハロワ,社会福祉法人千葉県厚生事業団 養護老人ホームひかり隣保館,千葉県,04-7131-6600,,施設長：平田 友久,,,,,,0
ハロワ,千葉県柏児童相談所,千葉県,04-7131-7175,,,,,,,,0
ハロワ,柏市自動車協同組合 ＊,千葉県,04-7131-9110,,,,,,,,0
ハロワ,株式会社エスラインギフ 柏支店,千葉県,04-7132-1101,,支店長 片山 慈章,,,,,,0
ハロワ,株式会社 ニチエイ・カーマックス,千葉県,04-7132-1190,,代表取締役 鶴田 和資,,,,,,0
ハロワ,柏センコー運輸 株式会社<br/> ＊,千葉県,04-7132-1306,,代表取締役 志方 昭友,,,,,,0
ハロワ,株式会社 加藤園緑化建設,千葉県,04-7132-2281,,代表取締役 加藤 明,,,,,,0
ハロワ,有限会社 千葉寺岡自動ドアサービス,千葉県,04-7132-5203,,代表取締役 押野 正志,,,,,,0
マイナビ19,株式会社ディー・エス・ケイ,千葉県,04-7132-6121,http://www.dsknet.co.jp/,,,,,,,0
ハロワ,株式会社 ディー・エス・ケイ,千葉県,04-7132-6121,,代表取締役 和田 穣,,,,,,0
ハロワ,国立研究開発法人国立がん研究センター 東病院<br/> ＊＊,千葉県,04-7133-1111,,理事長 中釜 斉,,,,,,0
ハロワ,社会福祉法人 岡北福祉会 美咲保育園,千葉県,04-7133-1155,,園長 大森 聡一,,,,,,0
ハロワ,有限会社 昭和運輸,千葉県,04-7133-1447,,代表取締役：藤川 隆,,,,,,0
マイナビ19,三協フロンテア株式会社,千葉県,04-7133-3361,http://www.sankyofrontier.com/saiyo/shinsotsu/index.html,,,,,,,0
ハロワ,有限会社 石井商事<br/>,千葉県,04-7133-5511,,代表取締役：石井徳光,,,,,,0
ハロワ,大東建託株式会社 柏支店 ＊＊,千葉県,04-7133-7272,,代表取締役社長 熊切直美,,,,,,0
DODA,株式会社金子商店,千葉県,04-7133-7668,,,,,,,,0
キャリタス19,株式会社インザイベジフル,千葉県,04-7133-8888,,,,,,,,0
ハロワ,ＢＸ鐵矢 株式会社,千葉県,04-7133-9111,,代表取締役社長 石井 清隆,,,,,,0
-,株式会社ホンダカーズ柏,千葉県,04-7134-0055,,,,,,,,0
ハロワ,株式会社 ホンダカーズ柏,千葉県,04-7134-0055,,代表取締役：飯泉 裕一,,,,,,0
ハロワ,医療法人社団葵会 介護老人保健施設 葵の園・柏たなか,千葉県,04-7134-1001,,理事長：新谷 幸義,,,,,,0
キャリタス19,公益財団法人柏市医療公社柏市立柏病院,千葉県,04-7134-2000,,,,,,,,0
ハロワ,公益財団法人柏市医療公社 柏市立柏病院 ＊,千葉県,04-7134-2000,,代表理事：佐藤 靖,,,,,,0
ハロワ,株式会社 ダイエックス,千葉県,04-7134-3000,,戸田 栄造,,,,,,0
ハロワ,医療法人社団 感・即・動,千葉県,04-7134-4188,,理事長 康本征史,,,,,,0
ハロワ,大関久 税理士事務所,千葉県,04-7134-5218,,代表 大関 久,,,,,,0
ハロワ,一般社団法人 Ｈ＆Ｆ,千葉県,04-7134-6327,,代表理事 岡田 隼人,,,,,,0
DODA,omnipeople株式会社,千葉県,04-7134-6767,http://omnipeople.co.jp/,,,,,,,0
ハロワ,株式会社 サンシステムプランニング サンパートナー,千葉県,04-7134-8139,,代表取締役 石田 淳,,,,,,0
ハロワ,株式会社グランディック（グランシア北柏）,千葉県,04-7134-8787,,代表取締役 渡邉 惣吉,,,,,,0
ハロワ,ＳＢフレームワークス株式会社,千葉県,04-7134-9121,,中本 浩,,,,,,0
ハロワ,株式会社 クリーンシステム,千葉県,04-7135-1253,,代表取締役 鈴木 隆,,,,,,0
-,森エイトホテルサンオーク,千葉県,04-7135-3009,,,,,,,,0
マイナビ転職,株式会社宮坂,千葉県,04-7135-3656,,,,,,,,0
ハロワ,ナノテック 株式会社,千葉県,04-7135-6111,,中森 秀樹,,,,,,0
ハロワ,ＮＰＯ法人Ｇ．Ｈ．ネットワーク 生活ホーム和気あいあい,千葉県,04-7135-7105,,理事長 吉田 勇,,,,,,0
ハロワ,ｃｏｅｕｒ ａｎｇｅ 株式会社,千葉県,04-7136-1582,,代表取締役 吉田 正己,,,,,,0
ハロワ,株式会社 東日本技術研究所 柏事業所,千葉県,04-7136-2828,,代表取締役 鈴木 茂夫,,,,,,0
ハロワ,合同会社 山下 高田デイサービス,千葉県,04-7136-7688,,代表社員：山下 尚志,,,,,,0
ハロワ,株式会社亨通国際開発,千葉県,04-7136-7886,,代表取締役 袁小康,,,,,,0
ハロワ,株式会社 山一ホーム,千葉県,04-7136-8339,,知久 輝昭,,,,,,0
ハロワ,株式会社 日本ハウスホールディングス Ｊエポックホーム事業部柏営業所,千葉県,04-7136-8860,,所長：大山 朋之,,,,,,0
ハロワ,株式会社リンクサポート 柏営業所 ＊＊,千葉県,04-7137-0171,,代表取締役 小林史知,,,,,,0
ハロワ,株式会社光岡自動車 ＢＵＢＵ柏店,千葉県,04-7137-1700,,光岡 章夫,,,,,,0
Yahooファイナンス,岡本硝子株式会社,千葉県,04-7137-3111,,,,,,,,0
ハロワ,株式会社 フロンティア,千葉県,04-7137-3391,,代表取締役：井上 二郎,,,,,,0
ハロワ,株式会社川島コーポレーション サニーライフ柏,千葉県,04-7137-3600,,代表取締役：川島 輝雄,,,,,,0
ハロワ,医療法人社団康喜会 辻仲病院柏の葉,千葉県,04-7137-3737,,理事長：高澤 逸雄,,,,,,0
ハロワ,株式会社ジャパンビバレッジ東京 柏支店<br/>,千葉県,04-7137-6041,,支店長 高坂 淳,,,,,,0
ハロワ,医療法人社団康喜会 辻仲病院柏の葉,千葉県,04-7137-6270,,理事長：高澤 逸雄,,,,,,0
ハロワ,インターリソース 株式会社,千葉県,04-7137-7420,,代表取締役 森木 俊雄,,,,,,0
ハロワ,医療法人緑生会 あびこクリニック,千葉県,04-7137-7435,,橋本 明,,,,,,0
ハロワ,アイレディースクリニック 伊藤正孝,千葉県,04-7137-7661,,伊藤 正孝,,,,,,0
ハロワ,有限会社 中島電気商会,千葉県,04-7137-9577,,代表取締役 中島 久信,,,,,,0
キャリタス19,医療法人社団葛野会木野崎病院,千葉県,04-7138-0321,,,,,,,,0
ハロワ,医療法人社団 葛野会 木野崎病院,千葉県,04-7138-0321,,理事長 笠原 俊彦,,,,,,0
ハロワ,社会福祉法人 昴,千葉県,04-7138-1382,,理事長 荒川 つき子,,,,,,0
リクナビ19,社会福祉法人野田芽吹会,千葉県,04-7138-2181,,,,,,,,0
ハロワ,社会福祉法人 野田芽吹会 野田芽吹学園,千葉県,04-7138-2181,,藤井 浩,,,,,,0
ハロワ,関東西部運輸 株式会社,千葉県,04-7138-3644,,代表取締役 田口 哲士,,,,,,0
ハロワ,株式会社 海上冷暖,千葉県,04-7138-3841,,海上 政志郎,,,,,,0
ハロワ,株式会社いとうぐみ,千葉県,04-7138-4071,,代表取締役 伊藤 譲,,,,,,0
ハロワ,株式会社 フジカワ,千葉県,04-7138-4155,,代表取締役 藤川 隆,,,,,,0
ハロワ,株式会社 なでしこケアサービス,千葉県,04-7138-5218,,代表取締役 矢内 好,,,,,,0
ハロワ,株式会社アイテック 柏支店,千葉県,04-7138-5571,,支店長 伊藤亮,,,,,,0
ハロワ,株式会社 Ｓｕｅｍａｒｕ,千葉県,04-7138-5652,,代表取締役 末吉 克也,,,,,,0
ハロワ,株式会社 オレンジ,千葉県,04-7138-6422,,代表取締役 渡邊 真司,,,,,,0
ハロワ,有限会社 さかもと企画サービス 袖ヶ浦営業所,千葉県,04-7138-6651,,取締役 坂本 孝ニ,,,,,,0
ハロワ,株式会社 アイテック,千葉県,04-7138-6857,,代表取締役 岩本 時宗,,,,,,0
リクナビ19,ちば東葛農業協同組合,千葉県,04-7140-2215,,,,,,,,0
ハロワ,ＳＨＩＮ－ＮＩＫＫＥＮ株式会社 柏支店,千葉県,04-7140-2417,,,,,,,,0
ハロワ,社会福祉法人 小羊会,千葉県,04-7141-0010,,理事長 長沼 信治,,,,,,0
ハロワ,Ｃｈｌｏｅ Ｐｈａｒｍａｃｙ 株式会社,千葉県,04-7141-0377,,代表取締役 野村 団,,,,,,0
ハロワ,オリックス自動車 株式会社,千葉県,04-7141-0543,,代表取締役社長 亀井 克信,,,,,,0
ハロワ,サンエス警備保障 株式会社,千葉県,04-7141-0577,,代表取締役 大野 淳史,,,,,,0
ハロワ,株式会社 三州 柏支店,千葉県,04-7141-0634,,代表取締役 八藤丸 貴実,,,,,,0
ハロワ,株式会社イー・アール 千葉支社,千葉県,04-7141-1313,,代表取締役：林 丈彦,,,,,,0
ハロワ,株式会社ニチイ学館 柏支店<br/> ＊,千葉県,04-7141-3600,,代表取締役：森 信介,,,,,,0
ハロワ,株式会社ニチイ学館 柏支店 へルスケア事業部<br/> ＊,千葉県,04-7141-4896,,代表取締役 森 信介,,,,,,0
リクナビ19,株式会社アガトス,千葉県,04-7141-5101,,,,,,,,0
ハロワ,渡辺パイプ株式会社 パイプシステム工業株式会社柏工場内事業所,千葉県,04-7141-5840,,渡辺 元,,,,,,0
ハロワ,医療法人社団貴山会 柏駅前なかやまメンタルクリニック ＊,千葉県,04-7141-6182,,中山 貴至,,,,,,0
ハロワ,医療法人社団 大晟会 大和田ファミリークリニック,千葉県,04-7141-7555,,理事長 大和田 章,,,,,,0
ハロワ,株式会社 賃貸アドバンス,千葉県,04-7141-7881,,代表取締役 山崎 裕之,,,,,,0
ハロワ,株式会社エイコー 東京営業所,千葉県,04-7141-8422,,代表取締役：田中 潔,,,,,,0
ハロワ,社会福祉法人 正心会<br/> ＊,千葉県,04-7141-8822,,理事長：岡村 徳久,,,,,,0
ハロワ,テフラックス 株式会社,千葉県,04-7142-3013,,代表取締役 前浦 弘英,,,,,,0
ハロワ,協栄解体 株式会社,千葉県,04-7142-7421,,代表取締役 浅野 恵文,,,,,,0
ハロワ,株式会社 組山工業,千葉県,04-7142-7450,,代表取締役社長 組山 一夫,,,,,,0
ハロワ,社会福祉法人 敬愛会,千葉県,04-7142-8800,,理事長 林 勇樹,,,,,,0
ハロワ,株式会社 ツクイ 千葉圏,千葉県,04-7142-8806,,代表取締役 津久井 宏,,,,,,0
キャリタス19,社会福祉法人豊珠会,千葉県,04-7143-1011,,,,,,,,0
ハロワ,医療法人社団塩路会 矢部歯科医院,千葉県,04-7143-3639,,院長 矢部 布志夫,,,,,,0
ハロワ,医療法人社団 柏愛耳鼻咽喉科,千葉県,04-7143-3878,,理事長 高石 秀峰,,,,,,0
ハロワ,訪問リハビリマッサージ楽らく,千葉県,04-7143-4976,,菊池 真由美,,,,,,0
ハロワ,株式会社 洋伸,千葉県,04-7143-5560,,代表取締役 赤澤 洋伸,,,,,,0
ハロワ,有限会社 村田会計,千葉県,04-7143-6126,,,,,,,,0
ハロワ,社会福祉法人柏光会 柏保育園,千葉県,04-7143-7603,,園長 小井土 奈緒子,,,,,,0
ハロワ,株式会社 中山鉄工,千葉県,04-7143-7776,,代表取締役：中山 聡志,,,,,,0
ハロワ,東京純薬工業 株式会社,千葉県,04-7143-8161,,和田 耕輔,,,,,,0
ハロワ,大河原歯科クリニック（大河原 伸浩）,千葉県,04-7144-0896,,大河原 伸浩,,,,,,0
ハロワ,東味 株式会社,千葉県,04-7144-6438,,代表取締役 鶴田 孝,,,,,,0
ハロワ,日本総合住生活株式会社 関東支社 千葉北支店,千葉県,04-7144-8180,,支店長：上代 幸男,,,,,,0
ハロワ,医療法人聖峰会 岡田病院,千葉県,04-7145-0121,,岡田 敏英,,,,,,0
リクナビ19,株式会社川和,千葉県,04-7145-1102,,,,,,,,0
ハロワ,医療法人社団協友会 柏厚生総合病院,千葉県,04-7145-1111,,代表 諏訪 達志,,,,,,0
ハロワ,社会福祉法人惠史会 吉野沢保育園,千葉県,04-7145-4438,,理事長 田口 恵一,,,,,,0
ハロワ,株式会社 岡田運送,千葉県,04-7145-4852,,代表取締役 岡田 靖子,,,,,,0
Yahooファイナンス,パウダーテック株式会社,千葉県,04-7145-5751,,,,,,,,0
ハロワ,学校法人 村上ワールド学園,千葉県,04-7145-8700,,代表取締役 村上豪人,,,,,,0
ハロワ,有限会社 進和設備,千葉県,04-7145-9345,,代表取締役社長 鈴木 章雄,,,,,,0
ハロワ,株式会社 帝国ホテルエンタープライズ,千葉県,04-7146-1125,,代表取締役社長 大脇 善夫,,,,,,0
マイナビ19,株式会社C・B・H,千葉県,04-7146-6080,http://www.cbh-inc.co.jp/,,,,,,,0
キャリタス19,株式会社Ｃ・Ｂ・Ｈ,千葉県,04-7146-6080,,,,,,,,0
ハロワ,萬味商事 株式会社<br/> ＊,千葉県,04-7146-8301,,木村 昌英,,,,,,0
ハロワ,東立製靴 株式会社,千葉県,04-7146-8680,,代表取締役 伊藤 雅史,,,,,,0
ハロワ,東葉警備保障 株式会社<br/> ＊＊ ＊,千葉県,04-7147-0110,,松本 隆一郎,,,,,,0
ハロワ,東葉ビル管理 株式会社,千葉県,04-7147-0808,,代表取締役社長 水口和夫,,,,,,0
ハロワ,武田紙器 株式会社,千葉県,04-7147-2101,,代表取締役社長 武田 啓,,,,,,0
マイナビ19,社会福祉法人まほろばの里,千葉県,04-7147-2941,http://www.mahorobanosato.or.jp/,,,,,,,0
ハロワ,社会福祉法人 童心会,千葉県,04-7147-3922,,理事長 中山 勲,,,,,,0
ハロワ,株式会社 サン・フレッシュグループホールディングス,千葉県,04-7148-0851,,落合 勉,,,,,,0
マイナビ転職,株式会社アセットオール,千葉県,04-7148-3301,,,,,,,,0
ハロワ,株式会社 エンテックス,千葉県,04-7148-4567,,代表取締役：加藤 修,,,,,,0
ハロワ,社会福祉法人流山あけぼの会 特別養護老人ホームあざみ苑,千葉県,04-7148-5665,,川口 栄子,,,,,,0
ハロワ,谷口歯科医院,千葉県,04-7148-6474,,院長 谷口 勇,,,,,,0
エン・ジャパン,株式会社七輪商事,千葉県,04-7150-1937,,,,,,,,0
ハロワ,ルート産業 株式会社,千葉県,04-7150-3541,,代表取締役 伊藤 和茂,,,,,,0
マイナビ19,築地産業株式会社,千葉県,04-7150-5014,http://www.tsukijisangyo.co.jp/,,,,,,,0
キャリタス19,流山市役所,千葉県,04-7150-6068,,,,,,,,0
ハロワ,共栄製薬 株式会社,千葉県,04-7152-0823,,代表取締役 稲葉 健一郎,,,,,,0
マイナビ19,SMCテック株式会社,千葉県,04-7152-1111,,,,,,,,0
ハロワ,社会福祉法人旭悠会 特別養護老人ホーム リバーパレス流山,千葉県,04-7152-1211,,関本 登,,,,,,0
ハロワ,株式会社東京自働機械製作所 柏工場,千葉県,04-7152-2121,,工場長：渡邉 義達,,,,,,0
ハロワ,医療法人社団柏水会 介護老人保健施設 ケアホーム初石,千葉県,04-7152-3400,,渡辺直樹,,,,,,0
ハロワ,丸金プラスチックス 株式会社,千葉県,04-7152-3720,,代表取締役：竹岸 秀郎,,,,,,0
ハロワ,株式会社 マルタカ ＊,千葉県,04-7152-5200,,遠藤 佳男,,,,,,0
マイナビ転職,株式会社佐藤ケミカル,千葉県,04-7152-8980,,,,,,,,0
ハロワ,株式会社 鶴田食品千葉,千葉県,04-7153-0100,,,,,,,,0
ハロワ,医療法人社団江陽会 江陽台病院,千葉県,04-7153-2555,,理事長：酒匂 栗江,,,,,,0
ハロワ,株式会社 なのはな警備,千葉県,04-7153-7787,,代表取締役 田中 よね子,,,,,,0
リクナビ19,株式会社バイオマトリックス研究所,千葉県,04-7153-8810,,,,,,,,0
ハロワ,株式会社 渡辺建設事務所,千葉県,04-7154-2106,,代表取締役：渡辺 克之利,,,,,,0
ハロワ,シンク精機 株式会社,千葉県,04-7154-2401,,代表取締役 山口 誠,,,,,,0
ハロワ,医療法人社団曙会 流山中央病院,千葉県,04-7154-5783,,理事長 国吉 昇,,,,,,0
ハロワ,京北給食 株式会社,千葉県,04-7154-7471,,代表取締役 高田 哲夫,,,,,,0
ハロワ,アーネスト 株式会社,千葉県,04-7154-7785,,緑川 佐美男,,,,,,0
マイナビ19,ナガセテクノサービス株式会社,千葉県,04-7155-1210,,,,,,,,0
ハロワ,日東ホーム 株式会社,千葉県,04-7155-1231,,代表取締役：芝 修平,,,,,,0
ハロワ,株式会社 クトクマーケティング,千葉県,04-7155-3551,,村石 建治,,,,,,0
ハロワ,東医院（東 大介）,千葉県,04-7155-5499,,東 大介,,,,,,0
ハロワ,株式会社 ＣＡＣ,千葉県,04-7155-5773,,代表取締役 山田 晃,,,,,,0
ハロワ,特定非営利活動法人 さわやか福祉の会 流山ユー・アイネット,千葉県,04-7155-6031,,鈴木 美智子,,,,,,0
ハロワ,あさぎが丘歯科医院,千葉県,04-7156-1182,,院長 鈴木久美子,,,,,,0
ハロワ,株式会社 ユーワ,千葉県,04-7156-1411,,代表取締役 伊東 秀幸,,,,,,0
ハロワ,アーキッツホーム 株式会社,千葉県,04-7156-3767,,代表取締役：志見 壮一,,,,,,0
ハロワ,株式会社 マザーライク<br/> 〒,千葉県,04-7156-7705,,代表取締役 三田 達也,,,,,,0
ハロワ,有限会社 ケンフォード ＊,千葉県,04-7156-8825,,代表取締役 黒田 健,,,,,,0
ハロワ,株式会社 大日工業<br/>,千葉県,04-7157-0509,,,,,,,,0
ハロワ,株式会社 東京フード 本部,千葉県,04-7157-1281,,代表取締役 栗田 英人,,,,,,0
ハロワ,株式会社 マザーライク<br/> 〒,千葉県,04-7157-2320,,代表取締役 三田 達也,,,,,,0
ハロワ,株式会社 ダイアナ ＊,千葉県,04-7157-3388,,代表取締役 大井 律子,,,,,,0
Yahooファイナンス,サンコーテクノ株式会社,千葉県,04-7157-3535,,,,,,,,0
ハロワ,株式会社 リメイク,千葉県,04-7157-4235,,神 正臣,,,,,,0
ハロワ,第一物産 株式会社,千葉県,04-7157-6341,,水口 桂子,,,,,,0
ハロワ,スターツケアサービス 株式会社,千葉県,04-7157-6464,,代表取締役 山崎 千里,,,,,,0
ハロワ,有限会社 太陽,千葉県,04-7157-7880,,代表取締役 佐々木直子,,,,,,0
ハロワ,東建コーポレーション株式会社 流山支店,千葉県,04-7157-8810,,左右田 稔,,,,,,0
ハロワ,株式会社 金子製作所,千葉県,04-7158-0281,,代表取締役 飯村 正博,,,,,,0
ハロワ,株式会社 高橋工務店,千葉県,04-7158-1302,,代表取締役：高橋 順一,,,,,,0
ハロワ,社会福祉法人南流山福祉会 なかよし保育園,千葉県,04-7158-5500,,,,,,,,0
ハロワ,有限会社 関商店,千葉県,04-7158-6100,,代表取締役：関 典生,,,,,,0
マイナビ転職,株式会社日本教材出版,千葉県,04-7158-6311,,,,,,,,0
ハロワ,フクダエム・イー工業株式会社 千葉事業所,千葉県,04-7158-9011,,代表取締役 福田 宏一,,,,,,0
ハロワ,株式会社 流山水道センター,千葉県,04-7159-0115,,代表取締役：野口 清,,,,,,0
ハロワ,開発重機建設 株式会社,千葉県,04-7159-1191,,代表取締役：澤地 博子,,,,,,0
ハロワ,株式会社 ダイシンクリア,千葉県,04-7159-1251,,中山 智純,,,,,,0
ハロワ,医療法人社団愛友会 千葉愛友会記念病院,千葉県,04-7159-1611,,院長 石塚 朋樹,,,,,,0
ハロワ,社会福祉法人 アゼリー,千葉県,04-7159-2954,,理事長：來栖 宏二,,,,,,0
ハロワ,社会福祉法人流山中央福祉会 南流山聖華保育園,千葉県,04-7159-3401,,理事長：白須賀 まり子,,,,,,0
ハロワ,医療法人社団 ほのぼの歯科・矯正歯科,千葉県,04-7160-0303,,梅田 和宏,,,,,,0
ハロワ,特定非営利活動法人 柏市福祉ワーカーズ,千葉県,04-7160-1144,,理事長：谷 和俊,,,,,,0
ハロワ,ハイテクシステム株式会社 柏支店,千葉県,04-7160-2921,,代表取締役社長 高山 允伯,,,,,,0
ハロワ,トーリツ 株式会社,千葉県,04-7160-3031,,田中 利昭,,,,,,0
ハロワ,社会福祉法人沼風会 特別養護老人ホーム 沼風苑,千葉県,04-7160-6800,,井手口礼子,,,,,,0
ハロワ,医療法人社団葵会 千葉・柏リハビリテーション病院,千葉県,04-7160-8300,,理事長 新谷 幸義,,,,,,0
ハロワ,医療法人社団葵会 介護老人保健施設葵の園・沼南 ＊,千葉県,04-7160-8888,,理事長：新谷 幸義,,,,,,0
ハロワ,株式会社テクノプロ テクノプロ・エンジニアリング社 柏支店<br/> ＊,千葉県,04-7162-1851,,支店長 飯田 友宏,,,,,,0
ハロワ,セントケア千葉株式会社 セントケア柏 ＊,千葉県,04-7162-2943,,代表取締役社長 成田 正幸,,,,,,0
マイナビ19,エムエルアイ・システムズ株式会社,千葉県,04-7162-3085,https://www-935.ibm.com/services/jp/ja/sgc/mli/,,,,,,,0
ハロワ,株式会社 ハウジング大興,千葉県,04-7163-1451,,大澤 輝子,,,,,,0
ハロワ,株式会社 清水メガネ,千葉県,04-7163-5833,,代表取締役 清水 学,,,,,,0
ハロワ,大東建託パートナーズ株式会社 柏営業所,千葉県,04-7163-7811,,副所長 福田 直樹,,,,,,0
ハロワ,株式会社 三城（メガネの三城 パリミキ）,千葉県,04-7163-8212,,代表取締役社長 澤田 将広,,,,,,0
キャリタス19,社会福祉法人柏市社会福祉協議会,千葉県,04-7163-9000,,,,,,,,0
ハロワ,医療法人社団順臣会 池松耳鼻咽喉科,千葉県,04-7164-3387,,池松 武臣,,,,,,0
ハロワ,株式会社 ヤタロー,千葉県,04-7164-7656,,中村 伸宏,,,,,,0
ハロワ,医療法人社団久修会 大島歯科医院,千葉県,04-7164-9112,,,,,,,,0
ハロワ,有限会社 山田クリエイト,千葉県,04-7165-1187,,代表取締技 山田 敬助,,,,,,0
ハロワ,株式会社 小泉企画,千葉県,04-7165-1333,,小泉 進,,,,,,0
ハロワ,株式会社日本クリード クリード北柏,千葉県,04-7165-1526,,代表取締役 安部高生,,,,,,0
ハロワ,ランスタッド株式会社 柏オフィス,千葉県,04-7165-1972,,支店長：佐藤 智哉,,,,,,0
ハロワ,株式会社レオパレス２１ あずみ苑 我孫子,千葉県,04-7165-2621,,代表取締役：深山 英世,,,,,,0
マイナビ転職,有限会社REB,千葉県,04-7165-8203,,,,,,,,0
ハロワ,有限会社 新柏日の丸 ＊,千葉県,04-7166-2180,,代表取締役：菅野 芳男,,,,,,0
ハロワ,医療法人社団エターナルウッド会 森永胃腸科外科,千葉県,04-7166-3333,,理事長 森永 裕子,,,,,,0
ハロワ,株式会社 綜合税経センター,千葉県,04-7166-5629,,代表取締役：栗山 隆史,,,,,,0
ハロワ,株式会社ＭＡＨ 緑ヶ丘動物病院,千葉県,04-7166-7890,,佐々木 一彦,,,,,,0
マイナビ19,柏市役所,千葉県,04-7167-1113,http://www.city.kashiwa.lg.jp/,,,,,,,0
リクナビ19,まくら株式会社,千葉県,04-7167-3069,,,,,,,,0
ハロワ,株式会社 長谷川建設<br/> ＊,千葉県,04-7167-3621,,代表取締役社長 山田 邦明,,,,,,0
マイナビ19,ITS株式会社,千葉県,04-7167-4532,http://www.its-g.co.jp/,,,,,,,0
ハロワ,合同会社かがやき かがやき介護サービス,千葉県,04-7167-5203,,代表社員：清水澤 慶三,,,,,,0
ハロワ,株式会社 穂高賃貸センター,千葉県,04-7167-5666,,赤澤 洋一,,,,,,0
ハロワ,株式会社 上村ブロック工業所,千葉県,04-7167-5853,,代表取締役：上村 勇,,,,,,0
ハロワ,株式会社 日本エフピー総合企画,千葉県,04-7167-6666,,本田 幸弘,,,,,,0
キャリタス19,医療法人社団天宣会,千葉県,04-7167-6667,,,,,,,,0
キャリタス19,社会福祉法人天宣会,千葉県,04-7167-6667,,,,,,,,0
ハロワ,社会福祉法人 天宣会<br/> 〒＊,千葉県,04-7167-6667,,理事長 西浦 天宣,,,,,,0
ハロワ,社会医療法人社団蛍水会 名戸ヶ谷病院,千葉県,04-7167-8336,,山崎 誠,,,,,,0
ハロワ,マーブルファミリー歯科クリニック,千葉県,04-7168-0330,,院長 笹本 祐馬,,,,,,0
ハロワ,美濃紙業 株式会社,千葉県,04-7168-0931,,代表取締役 近藤 勝,,,,,,0
ハロワ,社会福祉法人新柏会 特別養護老人ホーム新柏ヴィヴァンホーム,千葉県,04-7168-5001,,施設長 松本 隆一郎,,,,,,0
ハロワ,株式会社 新日,千葉県,04-7168-5811,,代表取締役 横川 泉,,,,,,0
ハロワ,東京海上日動火災保険株式会社 柏支社,千葉県,04-7168-5950,,柏支社長 石井 智博,,,,,,0
ハロワ,エビハラ管機 株式会社,千葉県,04-7168-7152,,代表取締役 海老原 誠佳,,,,,,0
